epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,430.854,0.98686,0.45435,1.0254,0.88186,0.77254,0.83018,0.54196,1.28041,0.56001,1.18499,0.00118194,0.00118194,0.00118194
57,439.329,0.97678,0.44095,1.02615,0.89376,0.79203,0.8444,0.53585,1.32206,0.59397,1.19962,0.0011807,0.0011807,0.0011807
58,447.755,1.00498,0.45528,1.03408,0.87797,0.79035,0.83978,0.56912,1.28656,0.5725,1.16512,0.00117946,0.00117946,0.00117946
59,456.22,0.97128,0.44065,1.0208,0.88313,0.78699,0.85582,0.58338,1.27893,0.52785,1.15979,0.00117822,0.00117822,0.00117822
60,464.721,0.95225,0.43082,1.01914,0.89422,0.78592,0.85602,0.57046,1.26818,0.51915,1.15141,0.00117699,0.00117699,0.00117699
61,473.224,0.95415,0.43261,1.03467,0.93992,0.79278,0.8843,0.57261,1.30162,0.51921,1.17647,0.00117575,0.00117575,0.00117575
62,481.679,0.97545,0.45066,1.0462,0.91782,0.85735,0.90893,0.61017,1.2862,0.52317,1.16868,0.00117451,0.00117451,0.00117451
63,490.405,0.94343,0.42548,1.01526,0.80136,0.86658,0.87461,0.59755,1.29405,0.51624,1.17789,0.00117327,0.00117327,0.00117327
64,498.829,0.95064,0.44491,1.02104,0.86907,0.79673,0.84164,0.56179,1.28085,0.52229,1.16255,0.00117204,0.00117204,0.00117204
65,507.317,0.9512,0.42823,1.01682,0.92114,0.79277,0.81016,0.55237,1.25958,0.51188,1.16148,0.0011708,0.0011708,0.0011708
66,515.815,0.97501,0.43811,1.02687,0.94525,0.78095,0.80934,0.56373,1.26451,0.51818,1.15807,0.00116956,0.00116956,0.00116956
67,524.31,0.95127,0.42661,1.00684,0.90948,0.7872,0.80917,0.55388,1.25618,0.51502,1.16064,0.00116833,0.00116833,0.00116833
68,532.831,0.97011,0.43049,1.01554,0.89064,0.79788,0.82687,0.54432,1.27062,0.51377,1.15598,0.00116709,0.00116709,0.00116709
69,541.217,0.9716,0.419,1.04618,0.89987,0.79412,0.81181,0.52195,1.27587,0.52411,1.16728,0.00116585,0.00116585,0.00116585
