epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1791.17,0.50444,0.25877,0.88233,0.96487,0.97727,0.98692,0.85593,0.57759,0.26143,1.00867,0.0097459,0.0097459,0.0097459
79,1814.09,0.48259,0.26225,0.87601,0.98146,0.9815,0.99027,0.85196,0.58817,0.27526,1.01025,0.0097426,0.0097426,0.0097426
80,1837.09,0.48617,0.26292,0.87972,0.96052,0.95585,0.97484,0.85394,0.58598,0.26021,1.02095,0.0097393,0.0097393,0.0097393
81,1859.9,0.47609,0.2462,0.87421,0.95384,0.98341,0.99187,0.86584,0.58049,0.25608,1.00986,0.009736,0.009736,0.009736
82,1882.73,0.47011,0.25781,0.87462,0.97459,0.99128,0.99353,0.85457,0.57655,0.26753,1.02309,0.0097327,0.0097327,0.0097327
83,1905.59,0.47864,0.26753,0.8834,0.97216,0.95595,0.99123,0.84911,0.5619,0.25273,1.00848,0.0097294,0.0097294,0.0097294
84,1928.34,0.4736,0.25207,0.88228,0.9801,0.96904,0.99115,0.859,0.5698,0.25688,1.0161,0.0097261,0.0097261,0.0097261
85,1951.1,0.47198,0.25841,0.88192,0.98935,0.98066,0.99386,0.87095,0.5624,0.25847,1.00789,0.0097228,0.0097228,0.0097228
86,1973.99,0.48561,0.25659,0.88263,0.98272,0.99443,0.99046,0.8428,0.60232,0.27146,1.01634,0.0097195,0.0097195,0.0097195
87,1996.84,0.46751,0.24895,0.87202,0.97839,0.98496,0.99141,0.84068,0.57812,0.24643,1.0058,0.0097162,0.0097162,0.0097162
88,2019.76,0.47504,0.24944,0.87172,0.94835,0.98478,0.98458,0.86462,0.56746,0.25432,1.0051,0.0097129,0.0097129,0.0097129
89,2042.67,0.44719,0.25655,0.86023,0.97418,0.93737,0.98191,0.84324,0.57221,0.26958,1.01889,0.0097096,0.0097096,0.0097096
90,2065.48,0.46322,0.26611,0.87934,0.96971,0.95437,0.98117,0.83393,0.57594,0.25997,1.02328,0.0097063,0.0097063,0.0097063
91,2088.4,0.45258,0.25452,0.87477,0.98327,0.95277,0.97774,0.83124,0.59747,0.26515,1.04813,0.009703,0.009703,0.009703
92,2111.33,0.44528,0.24113,0.86918,0.99248,0.95988,0.99021,0.8561,0.58295,0.2583,1.03472,0.0096997,0.0096997,0.0096997
93,2134.13,0.44981,0.24604,0.87036,0.98782,0.94442,0.96908,0.8445,0.5848,0.26616,1.03936,0.0096964,0.0096964,0.0096964
94,2156.97,0.45175,0.24841,0.87316,0.98116,0.94801,0.97651,0.86298,0.5847,0.25862,1.02932,0.0096931,0.0096931,0.0096931
95,2179.9,0.43958,0.24815,0.87066,0.94063,0.94242,0.96708,0.84819,0.57693,0.25573,1.02752,0.0096898,0.0096898,0.0096898
96,2202.82,0.43667,0.24729,0.86092,0.95922,0.97231,0.98121,0.83829,0.56792,0.26914,1.0236,0.0096865,0.0096865,0.0096865
97,2225.68,0.43234,0.24524,0.86432,0.94078,0.95795,0.97082,0.82167,0.59724,0.26827,1.03571,0.0096832,0.0096832,0.0096832
98,2248.59,0.444,0.24455,0.86723,0.93285,0.98166,0.97102,0.81745,0.62911,0.28403,1.0511,0.0096799,0.0096799,0.0096799
99,2271.48,0.44236,0.24502,0.86712,0.95846,0.98839,0.97372,0.84308,0.55659,0.26871,1.02728,0.0096766,0.0096766,0.0096766
100,2294.35,0.43705,0.24612,0.86157,0.97545,0.99114,0.98205,0.84843,0.55703,0.25231,1.02775,0.0096733,0.0096733,0.0096733
101,2317.1,0.44085,0.24525,0.86808,0.95845,0.97863,0.97706,0.83659,0.58786,0.26957,1.03697,0.00967,0.00967,0.00967
102,2339.99,0.43547,0.24831,0.86339,0.9615,0.98602,0.98001,0.84826,0.59493,0.26592,1.04332,0.0096667,0.0096667,0.0096667
103,2362.84,0.43528,0.25028,0.8624,0.97332,0.97816,0.97575,0.85918,0.56348,0.2465,1.03571,0.0096634,0.0096634,0.0096634
104,2385.76,0.44124,0.2435,0.87964,0.95458,0.98109,0.99084,0.87467,0.56565,0.24799,1.03648,0.0096601,0.0096601,0.0096601
105,2408.46,0.42841,0.23247,0.85749,0.97949,0.95297,0.99128,0.87374,0.59171,0.25643,1.05111,0.0096568,0.0096568,0.0096568
106,2431.43,0.44139,0.24275,0.86673,0.96862,0.97832,0.99337,0.86336,0.58165,0.24815,1.03319,0.0096535,0.0096535,0.0096535
107,2454.51,0.42433,0.24656,0.8629,0.94759,0.96228,0.97796,0.85628,0.58212,0.25536,1.03069,0.0096502,0.0096502,0.0096502
108,2477.47,0.42787,0.24439,0.85952,0.93101,0.9474,0.97097,0.84815,0.56982,0.25779,1.02868,0.0096469,0.0096469,0.0096469
109,2500.67,0.42092,0.24097,0.86075,0.96507,0.96877,0.9862,0.86387,0.57203,0.25925,1.02434,0.0096436,0.0096436,0.0096436
110,2523.67,0.41508,0.23706,0.86053,0.96448,0.97496,0.99274,0.87256,0.56297,0.24674,1.02344,0.0096403,0.0096403,0.0096403
111,2546.4,0.43413,0.24003,0.86577,0.96277,0.98395,0.9803,0.84929,0.58213,0.24515,1.04088,0.009637,0.009637,0.009637
112,2569.33,0.41818,0.23919,0.85313,0.95139,0.98301,0.98186,0.83413,0.59513,0.26214,1.04232,0.0096337,0.0096337,0.0096337
113,2592.12,0.42224,0.2419,0.86595,0.9552,0.98625,0.99065,0.83857,0.56623,0.25443,1.05057,0.0096304,0.0096304,0.0096304
114,2615.11,0.40494,0.22772,0.86057,0.95532,0.99348,0.99494,0.84128,0.57111,0.24711,1.05552,0.0096271,0.0096271,0.0096271
115,2638.07,0.41574,0.22544,0.85992,0.99217,0.97836,0.99488,0.86355,0.55292,0.24694,1.04123,0.0096238,0.0096238,0.0096238
116,2661.08,0.42059,0.23334,0.8598,0.97166,0.9864,0.99323,0.87194,0.56321,0.24211,1.0481,0.0096205,0.0096205,0.0096205
117,2683.86,0.41487,0.23627,0.85709,0.98747,0.89697,0.97697,0.85468,0.62328,0.27817,1.08401,0.0096172,0.0096172,0.0096172
118,2706.66,0.41438,0.23713,0.85779,0.96354,0.91075,0.97546,0.83007,0.58768,0.26239,1.04905,0.0096139,0.0096139,0.0096139
119,2729.45,0.41689,0.22512,0.85484,0.96497,0.96966,0.97331,0.84237,0.57027,0.24524,1.04354,0.0096106,0.0096106,0.0096106
120,2752.3,0.41693,0.23055,0.85973,0.9637,0.99551,0.98153,0.83616,0.5828,0.25473,1.04668,0.0096073,0.0096073,0.0096073
121,2775.1,0.41774,0.24094,0.85213,0.93937,0.96612,0.96413,0.83417,0.57866,0.25123,1.02365,0.009604,0.009604,0.009604
122,2797.99,0.41513,0.23895,0.85266,0.93057,0.94329,0.95568,0.82686,0.60313,0.2583,1.00419,0.0096007,0.0096007,0.0096007
123,2820.84,0.41368,0.24287,0.84628,0.92597,0.96558,0.96551,0.82426,0.59194,0.26458,1.01033,0.0095974,0.0095974,0.0095974
124,2843.65,0.40188,0.2267,0.83586,0.92508,0.97572,0.9698,0.82319,0.63542,0.29232,1.03036,0.0095941,0.0095941,0.0095941
125,2866.55,0.41097,0.22413,0.84825,0.967,0.94043,0.97689,0.83242,0.68899,0.27775,1.05895,0.0095908,0.0095908,0.0095908
126,2889.36,0.3973,0.22965,0.84012,0.94956,0.98288,0.98789,0.84171,0.58255,0.25292,1.0261,0.0095875,0.0095875,0.0095875
127,2912.27,0.39814,0.22638,0.84494,0.96708,0.97275,0.97996,0.82535,0.64853,0.27579,1.05472,0.0095842,0.0095842,0.0095842
128,2935.06,0.40575,0.22866,0.85715,0.98219,0.97997,0.99256,0.8561,0.60256,0.25307,1.03933,0.0095809,0.0095809,0.0095809
129,2957.94,0.39347,0.22298,0.85253,0.9769,0.97199,0.98558,0.83646,0.62776,0.28454,1.05316,0.0095776,0.0095776,0.0095776
130,2980.83,0.41099,0.23588,0.84833,0.97553,0.96793,0.98209,0.85264,0.60581,0.26066,1.05199,0.0095743,0.0095743,0.0095743
131,3003.69,0.39636,0.22466,0.84367,0.96953,0.98138,0.99022,0.86936,0.57799,0.24385,1.03243,0.009571,0.009571,0.009571
132,3026.58,0.39056,0.23215,0.84137,0.94308,0.96726,0.97918,0.8399,0.6067,0.27464,1.04592,0.0095677,0.0095677,0.0095677
133,3049.61,0.40222,0.23283,0.85754,0.97916,0.97788,0.99245,0.86789,0.56405,0.23958,1.03284,0.0095644,0.0095644,0.0095644
134,3072.49,0.39412,0.22605,0.85089,0.97259,0.97111,0.99201,0.85933,0.56431,0.24351,1.03569,0.0095611,0.0095611,0.0095611
135,3095.34,0.40075,0.23278,0.85143,0.96575,0.9743,0.98722,0.83673,0.58539,0.25867,1.04737,0.0095578,0.0095578,0.0095578
136,3118.28,0.39695,0.22213,0.84939,0.97922,0.97705,0.99124,0.84412,0.56293,0.23763,1.04118,0.0095545,0.0095545,0.0095545
137,3141.23,0.39032,0.22211,0.85106,0.97296,0.97023,0.98991,0.84257,0.58733,0.25435,1.04355,0.0095512,0.0095512,0.0095512
138,3164.17,0.39031,0.22349,0.84707,0.93517,0.97259,0.97618,0.83289,0.61285,0.26314,1.05221,0.0095479,0.0095479,0.0095479
139,3187.04,0.39153,0.22313,0.84942,0.96319,0.95797,0.98239,0.83458,0.62236,0.26984,1.06987,0.0095446,0.0095446,0.0095446
140,3209.99,0.39868,0.23953,0.8494,0.99123,0.98091,0.99453,0.86088,0.56682,0.25816,1.03203,0.0095413,0.0095413,0.0095413
141,3233,0.37619,0.22952,0.84878,0.9805,0.96755,0.99266,0.86389,0.57084,0.25448,1.04276,0.009538,0.009538,0.009538
142,3255.96,0.37853,0.22334,0.84446,0.96951,0.96651,0.98071,0.86592,0.56529,0.25031,1.05236,0.0095347,0.0095347,0.0095347
143,3278.93,0.40221,0.22467,0.85215,0.94667,0.98646,0.9824,0.85496,0.5751,0.24853,1.058,0.0095314,0.0095314,0.0095314
144,3301.81,0.38795,0.21883,0.85028,0.97358,0.97081,0.98319,0.85449,0.59744,0.26073,1.0709,0.0095281,0.0095281,0.0095281
145,3324.77,0.38684,0.2187,0.85208,0.96351,0.97323,0.97239,0.84153,0.58554,0.26285,1.0689,0.0095248,0.0095248,0.0095248
146,3347.69,0.38522,0.21761,0.84337,0.97386,0.97609,0.97922,0.85329,0.57263,0.24643,1.06344,0.0095215,0.0095215,0.0095215
147,3370.66,0.38562,0.21163,0.84643,0.97474,0.96959,0.98334,0.85754,0.56043,0.24455,1.05461,0.0095182,0.0095182,0.0095182
148,3393.68,0.36281,0.21183,0.8397,0.97166,0.9368,0.97887,0.8299,0.70199,0.29269,1.1121,0.0095149,0.0095149,0.0095149
149,3416.65,0.37281,0.2209,0.84893,0.97239,0.98521,0.98655,0.85318,0.56808,0.23942,1.06686,0.0095116,0.0095116,0.0095116
150,3439.71,0.37613,0.21878,0.84434,0.97337,0.975,0.98461,0.86015,0.56311,0.23799,1.06322,0.0095083,0.0095083,0.0095083
151,3462.95,0.38453,0.22052,0.84516,0.94354,0.9518,0.97722,0.84041,0.56936,0.24487,1.06283,0.009505,0.009505,0.009505
152,3487.24,0.36478,0.21066,0.84467,0.96894,0.91337,0.96003,0.82821,0.63241,0.28065,1.09463,0.0095017,0.0095017,0.0095017
153,3510.61,0.3744,0.22888,0.83649,0.94824,0.95205,0.97587,0.85117,0.58985,0.26247,1.06882,0.0094984,0.0094984,0.0094984
154,3533.85,0.37346,0.22192,0.8418,0.96542,0.99673,0.98385,0.83951,0.60005,0.2554,1.06979,0.0094951,0.0094951,0.0094951
155,3556.88,0.35728,0.21204,0.83334,0.95292,0.98948,0.98282,0.84673,0.57819,0.24672,1.05587,0.0094918,0.0094918,0.0094918
156,3579.92,0.38403,0.21767,0.84002,0.93997,0.9317,0.95377,0.82444,0.61689,0.27303,1.05896,0.0094885,0.0094885,0.0094885
157,3602.91,0.37553,0.22304,0.83766,0.97594,0.98586,0.98772,0.85939,0.55957,0.2489,1.04725,0.0094852,0.0094852,0.0094852
158,3626.02,0.36757,0.22872,0.83603,0.9662,0.98108,0.98928,0.8543,0.56406,0.25261,1.05407,0.0094819,0.0094819,0.0094819
159,3649.08,0.38364,0.21474,0.8542,0.97526,0.94322,0.98554,0.85711,0.57636,0.25711,1.05766,0.0094786,0.0094786,0.0094786
160,3672.19,0.36104,0.20739,0.8348,0.98437,0.98499,0.99375,0.87923,0.55281,0.2472,1.05502,0.0094753,0.0094753,0.0094753
